review_id,entity_id,date,time,customer_review,experience_driver_not_normalised,entity_name,theme,context,feedback_type,emotion,customer_journey,customer_journey_stage,interaction_moment,opportunity_stream,customer_effort_score,ou_name,keywords,semantic_action_statement,matters,stream_justification,behavioral_impact,emotion_primary,emotion_specific,canonical_theme,canonical_category,canonical_subcategory,experience_driver,theme_match_score,category_match_score,subcategory_match_score
1,1.1,2025-06-07,10:07:38,Apke store main jaa kar check karo tou availability hoti hain but online order karo to deliver nahi kartey frozen items specifically.,Product Availability → Online vs In-Store Discrepancy,Frozen Items,Inventory Consistency,Customer finds frozen items available in-store but not deliverable when ordered online.,Complaint,Agitation – Frustrated,Digital Engagement,Online Order Fulfillment,during online order attempt for frozen items,Fix,6,Frozen Items – Complaint – Fix,"['availability', 'frozen items', 'online order', 'in-store', 'discrepancy']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about frozen items being available in-store but not deliverable 
  when ordered online during the online order attempt for frozen items

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Availability → Online vs In-Store Discrepancy to address the discrepancy between in-store availability and online delivery options for frozen items",discrepancy between in-store availability and online delivery options for frozen items,"This inconsistency creates confusion and dissatisfaction, undermining trust in online services. Resolving this ensures alignment between in-store and online inventory systems.","Align inventory visibility across channels, reduce customer frustration, and enhance online shopping reliability.",Agitation,Frustrated,Inventory Consistency,Product Availability,Online vs In-Store Discrepancy,Product Availability → Online vs In-Store Discrepancy,100,100,100
2,2.1,2025-07-14,10:07:38,"Your app is showing the product in stock but when I place an order, I received a call that some of your required product is out of stock.",Product Availability → Real-Time Stock Visibility,App Stock Display,Inventory Integrity,Customer was informed post-order that items marked as in-stock were actually unavailable.,Complaint,Agitation – Frustrated,Purchase & Checkout,Order Confirmation,after placing the order,Fix,6,App Stock Display – Complaint – Fix,"['in stock', 'out of stock', 'order placement', 'inventory discrepancy']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about being informed that items were out of stock after placing an order, despite the app showing them as available

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Availability → Real-Time Stock Visibility to address misleading stock information that results in post-order availability issues",misleading stock information that results in post-order availability issues,"This is a critical failure in inventory accuracy, leading to customer frustration and potential loss of trust. Immediate correction is needed to ensure real-time stock accuracy.","Restore confidence in stock accuracy, reduce order cancellations, and improve customer satisfaction with inventory transparency.",Agitation,Frustrated,Inventory Integrity,Product Availability,Real-Time Stock Visibility,Product Availability → Real-Time Stock Visibility,100,100,100
3,3.1,2025-06-09,10:07:38,Olives were in stock when I ordered when they delivered it was out of stock. I ordered butter crunch biscuit but they delivered biscuits of their choice.,Product Availability → Real-Time Stock Visibility,Olives,Inventory Integrity,Customer ordered olives that were shown as in stock but were out of stock upon delivery.,Complaint,Agitation – Frustrated,Delivery & Fulfillment,Order Fulfillment,during delivery when olives were found to be out of stock,Fix,6,Olives – Complaint – Fix,"['out of stock', 'real-time availability', 'order', 'delivery', 'frustration']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about olives being shown as in stock but were out of stock upon delivery

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Product Availability → Real-Time Stock Visibility to address misleading stock visibility that results in unavailable items being ordered",misleading stock visibility that results in unavailable items being ordered,"This is a direct failure of inventory integrity at a critical purchase moment, introducing friction, confusion, and emotional erosion. Fixing this restores purchase reliability and trust.","Reinstate confidence in real-time stock accuracy, reduce failed purchase attempts, and lower cart abandonment at the conversion point.",Agitation,Frustrated,Inventory Integrity,Product Availability,Real-Time Stock Visibility,Product Availability → Real-Time Stock Visibility,100,100,100
3,3.2,2025-06-09,10:07:38,Olives were in stock when I ordered when they delivered it was out of stock. I ordered butter crunch biscuit but they delivered biscuits of their choice.,Order Accuracy → Substitution Quality,Butter Crunch Biscuit,Order Fulfillment,Customer ordered butter crunch biscuits but received a different type of biscuits.,Complaint,Agitation – Annoyed,Delivery & Fulfillment,Order Fulfillment,during delivery when incorrect biscuits were delivered,Fix,5,Butter Crunch Biscuit – Complaint – Fix,"['substitution', 'order accuracy', 'wrong item', 'delivery', 'frustration']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about receiving a different type of biscuits instead of the ordered butter crunch biscuits during delivery

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Accuracy → Substitution Quality to address incorrect product substitutions that do not match customer orders",incorrect product substitutions that do not match customer orders,"This represents a failure in order accuracy and substitution logic, leading to customer dissatisfaction and potential loss of trust. Immediate correction is needed to ensure order integrity.","Improve substitution processes, ensure customer satisfaction with order accuracy, and maintain trust in delivery services.",Agitation,Annoyed,Order Fulfillment,Order Accuracy,Substitution Quality,Order Accuracy → Substitution Quality,100,100,100
4,4.1,2025-05-18,10:07:38,I place 3 type of fish in my order only receive 2 type of fish and one the biscuit fish has too bad smell and having lots of salt in it.,Order Accuracy → Item Fulfillment,Fish Order,Delivery & Fulfillment,"Customer ordered three types of fish but received only two, and the biscuit fish had a bad smell and was overly salty.",Complaint,Agitation – Disappointed,Delivery & Fulfillment,Order Completion,upon receiving the order,Fix,6,Fish Order – Complaint – Fix,"['missing item', 'bad smell', 'overly salty', 'order fulfillment']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about receiving only two types of fish instead of three, and the biscuit fish had a bad smell and was overly salty upon receiving the order

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Accuracy → Item Fulfillment to address missing fish types and poor quality of delivered fish that lead to dissatisfaction",missing fish types and poor quality of delivered fish that lead to dissatisfaction,"The order was incomplete and the quality of the delivered item was substandard, causing customer dissatisfaction and requiring immediate resolution.","Restore trust in order accuracy and product quality, reduce risk of future order errors, and improve customer satisfaction.",Agitation,Disappointed,Delivery & Fulfillment,Order Accuracy,Item Fulfillment,Order Accuracy → Item Fulfillment,100,100,100
5,5.1,2025-06-14,10:07:38,I received my order three days late because some items weren't in stock and even then I received half of the items. No prior informing.,Order Accuracy → Fulfillment Notification,Order Fulfillment Communication,Delivery & Fulfillment,Customer received their order three days late with missing items and no prior notification.,Complaint,Anger – Frustrated,Delivery & Fulfillment,Order Fulfillment,when receiving the order,Fix,7,Order Fulfillment Communication – Complaint – Fix,"['late delivery', 'missing items', 'no notification', 'stock issues']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about receiving their order three days late with missing items and no prior notification when receiving the order

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Accuracy → Fulfillment Notification to address lack of prior notification for out-of-stock items leading to delayed and incomplete orders",lack of prior notification for out-of-stock items leading to delayed and incomplete orders,"This represents a breakdown in communication and fulfillment accuracy, causing significant customer frustration and trust erosion. Immediate resolution is required to restore reliability and customer confidence.","Improve communication on stock availability, reduce delivery delays, and enhance customer trust in order fulfillment processes.",Anger,Frustrated,Delivery & Fulfillment,Order Accuracy,Item Fulfillment,Order Accuracy → Item Fulfillment,100,100,100
6,6.1,2025-05-19,10:07:38,"While placing the order online, I selected Dec 16 as delivery date. But the order was delivered on Dec 12. It caused very inconvenience to me. I also lodged formal complaint for that.",Delivery Experience → Timing,Scheduled Delivery Date,Delivery & Fulfillment,"Customer selected Dec 16 as the delivery date, but the order was delivered on Dec 12, causing inconvenience.",Complaint,Agitation – Frustrated,Delivery & Fulfillment,Delivery Scheduling,during delivery scheduling and execution,Fix,6,Scheduled Delivery Date – Complaint – Fix,"['delivery date', 'inconvenience', 'wrong date', 'complaint']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about their order being delivered on Dec 12 instead of the selected Dec 16, causing inconvenience

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Delivery Experience → Timing to address incorrect delivery dates that disrupt customer plans and cause inconvenience",incorrect delivery dates that disrupt customer plans and cause inconvenience,"The delivery was executed on the wrong date, directly impacting the customer's schedule and causing frustration. This requires immediate correction to restore trust in delivery scheduling.","Ensure delivery accuracy, reduce scheduling errors, and maintain customer trust in delivery commitments.",Agitation,Frustrated,Delivery & Fulfillment,Delivery Experience,Timing,Delivery Experience → Timing,100,100,100
7,7.1,2025-05-06,10:07:38,"My order was missing an item, I was not informed that this item was not available/missing. My card was charged the full order amount but the delivery receipt was less because of the missing item, I was not refunded the extra charged amount.",Order Accuracy → Missing Item Notification,Order Notification System,Order Fulfillment Integrity,"Customer was not informed about a missing item in their order, leading to a discrepancy between the charged amount and the delivery receipt.",Complaint,Agitation – Frustrated,Delivery & Fulfillment,Order Completion & Receipt,upon receiving the delivery receipt,Fix,6,Order Notification System – Complaint – Fix,"['missing item', 'no notification', 'order discrepancy', 'charged full amount', 'refund issue']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint that upon receiving the delivery receipt, they were not informed about a missing item, leading to a discrepancy between the charged amount and the delivery receipt.

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Accuracy → Missing Item Notification to address missing item notifications that lead to order discrepancies and refund issues.",missing item notifications that lead to order discrepancies and refund issues,"This is a direct failure in the order notification process, causing financial discrepancies and customer frustration. Immediate resolution is required to restore trust and ensure accurate billing.","Restore order fulfillment integrity, ensure accurate billing, and prevent future discrepancies in customer charges.",Agitation,Frustrated,Order Fulfillment,Order Accuracy,Missing Item Notification,Order Accuracy → Missing Item Notification,100,100,100
8,8.1,2025-05-20,10:07:38,"Recently I received the wrong product, I don't know why Metro sent me the wrong product. Metro is one of the big and famous brands in Pakistan. This is not good.",Order Accuracy → Error Resolution,Metro,Order Fulfillment,"Customer received an incorrect product from Metro, a well-known brand in Pakistan.",Complaint,Agitation – Disappointed,Delivery & Fulfillment,Order Receipt,upon receiving the delivery,Fix,6,Metro – Complaint – Fix,"['wrong product', 'order accuracy', 'Metro', 'brand reputation', 'disappointment']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about receiving the wrong product from Metro, a well-known brand in Pakistan, upon receiving the delivery

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Order Accuracy → Error Resolution to address incorrect product deliveries that undermine brand trust and customer satisfaction",incorrect product deliveries that undermine brand trust and customer satisfaction,"This is a direct failure in order accuracy, impacting customer trust and brand reputation. Immediate resolution is required to restore confidence and prevent future errors.","Reinforce order accuracy, protect brand reputation, and enhance customer satisfaction by ensuring correct product delivery.",Agitation,Disappointed,Order Fulfillment,Order Accuracy,Error Resolution,Order Accuracy → Error Resolution,100,100,100
9,9.1,2025-06-21,10:07:38,"Din Ho Gaye Hain Par Abi Tak Mujhe Mera Order Received Nai Hua. Mujhy Metro Ke Ess Number (03245000924) Say Call Bii Ayi Thi Wo Keh Rahy Thy Cooper Color Available Nahi Black Or White Color Mil Jaye Ga, Main Nay Kaha Tha Black Beajh Deyn, Wo Kehty Thori Dair Tak App Ko Deliver Ho Jaye Ga, But Ab To 5 Din Ho Gye No Any Response. Kindly Jaldi Deliver Kar Deyn We Are Still Waiting Thanks My Order Number 960110008185003-1 Also Attach Screenshot Of My Order Thank You",Delivery Experience → Timing,Order Number 960110008185003-1,Delivery Fulfillment,Customer has not received their order even after 5 days despite being promised a delivery.,Complaint,Agitation – Frustrated,Delivery & Fulfillment,Delivery Completion,after being promised delivery within a short time frame,Fix,6,Order Number 960110008185003-1 – Complaint – Fix,"['order delay', 'no response', 'delivery timing', 'waiting']","SECTION 1: THE CUSTOMER REALITY
  The customer submitted a Complaint about not receiving their order even after 5 days despite being promised a delivery within a short time frame

  SECTION 2: THE STRATEGIC RESPONSE
  We need to Fix → Delivery Experience → Timing to address delayed delivery that fails to meet promised timelines, causing customer frustration","delayed delivery that fails to meet promised timelines, causing customer frustration","The delivery promise was broken, leading to customer dissatisfaction and potential trust erosion. Immediate resolution is required to restore service reliability.","Restore delivery reliability, reduce customer frustration, and prevent future trust issues.",Agitation,Frustrated,Delivery & Fulfillment,Delivery Experience,Timing,Delivery Experience → Timing,100,100,100
